case,class,sigma_bin,output,rank,svd_relative_rms,singular_value
rotor,self,6.000,u,94,1.128443561e-02,8.960606148e-01
rotor,self,6.000,u,95,1.099684228e-02,8.804006107e-01
rotor,self,6.000,u,96,1.073336944e-02,8.321867585e-01
rotor,self,6.000,u,97,1.046900535e-02,8.234066531e-01
rotor,self,6.000,u,98,1.019998864e-02,8.201063690e-01
rotor,self,6.000,u,99,9.940495851e-03,7.950940335e-01
rotor,self,6.000,u,100,9.677718455e-03,7.896681617e-01
rotor,self,6.000,u,101,9.427075150e-03,7.610621410e-01
rotor,self,6.000,u,102,9.178798821e-03,7.475041086e-01
rotor,self,6.000,u,103,8.930451050e-03,7.375666185e-01
rotor,self,6.000,u,104,8.684357851e-03,7.241185329e-01
rotor,self,6.000,u,105,8.433321794e-03,7.209603638e-01
rotor,self,6.000,u,106,8.182236808e-03,7.103767420e-01
rotor,self,6.000,u,107,7.937051257e-03,6.914189123e-01
rotor,self,6.000,u,108,7.701404851e-03,6.676490512e-01
rotor,self,6.000,u,109,7.470301867e-03,6.512397272e-01
rotor,self,6.000,u,110,7.234869115e-03,6.471267732e-01
rotor,self,6.000,u,111,7.006347308e-03,6.274198529e-01
rotor,self,6.000,u,112,6.774224718e-03,6.220326997e-01
rotor,self,6.000,u,113,6.539610776e-03,6.146804360e-01
rotor,self,6.000,u,114,6.310669527e-03,5.965395103e-01
rotor,self,6.000,u,115,6.075016593e-03,5.941790702e-01
rotor,self,6.000,u,116,5.844248932e-03,5.768104378e-01
rotor,self,6.000,u,117,5.618556400e-03,5.594031947e-01
rotor,self,6.000,u,118,5.396727189e-03,5.436608970e-01
rotor,self,6.000,u,119,5.176395654e-03,5.308365995e-01
rotor,self,6.000,u,120,4.963667606e-03,5.108031870e-01
rotor,self,6.000,u,121,4.746358685e-03,5.052075940e-01
rotor,self,6.000,u,122,4.534145433e-03,4.880821474e-01
rotor,self,6.000,u,123,4.331060723e-03,4.666635954e-01
rotor,self,6.000,u,124,4.126160571e-03,4.578317182e-01
rotor,self,6.000,u,125,3.922000279e-03,4.458151790e-01
rotor,self,6.000,u,126,3.710419533e-03,4.419672471e-01
rotor,self,6.000,u,127,3.499208561e-03,4.291761287e-01
rotor,self,6.000,u,128,3.280585571e-03,4.234255469e-01
rotor,self,6.000,u,129,3.055922134e-03,4.149655780e-01
rotor,self,6.000,u,130,2.827158616e-03,4.034750428e-01
rotor,self,6.000,u,131,2.608803531e-03,3.789140911e-01
rotor,self,6.000,u,132,2.388706542e-03,3.647579606e-01
rotor,self,6.000,u,133,2.163578620e-03,3.520872516e-01
rotor,self,6.000,u,134,1.928352990e-03,3.412144323e-01
rotor,self,6.000,u,135,1.722982377e-03,3.011729072e-01
rotor,self,6.000,u,136,1.506198260e-03,2.909918254e-01
rotor,self,6.000,u,137,1.279297243e-03,2.764969474e-01
